Tipo	CNPJ Declarante	CNPJ Sucedida	CNPJ Detentor Crédito	Ano Período	Mês Período	Período Apuração	CFOP	Vlr Base Cálculo	Vlr IPI	Vlr Isentas/Não Tributadas	Vlr Outros
R11	04742371000108	04742371000108	04742371000108	2022	03	0	1201	2924,82	146,24	0	13180,89
R11	04742371000108	04742371000108	04742371000108	2022	03	0	2101	2107663,5	83838,46	0	0
R11	04742371000108	04742371000108	04742371000108	2022	03	0	2201	658,34	32,86	0	1719,91
R11	04742371000108	04742371000108	04742371000108	2022	03	0	2556	8898,88	272,85	0	0
R11	04742371000108	04742371000108	04742371000108	2022	03	0	2910	2310	259,88	0	0
R11	04742371000108	04742371000108	04742371000108	2022	03	0	2911	851,2	95,76	0	0
R11	04742371000108	04742371000108	04742371000108	2022	03	0	3101	185680,47	6963,02	0	0
R11	04742371000108	04742371000108	04742371000108	2022	04	0	1101	99095,04	11148,19	0	0
R11	04742371000108	04742371000108	04742371000108	2022	04	0	1201	16597,16	672,21	0	10255,56
R11	04742371000108	04742371000108	04742371000108	2022	04	0	2101	1385573,01	80399,67	0	0
R11	04742371000108	04742371000108	04742371000108	2022	04	0	2201	90,34	14,82	0	4250,97
R11	04742371000108	04742371000108	04742371000108	2022	04	0	2556	1884,82	116,43	0	3441,13
R11	04742371000108	04742371000108	04742371000108	2022	04	0	2910	2450	215,64	0	0
R11	04742371000108	04742371000108	04742371000108	2022	05	0	1201	2936,93	111,89	0	2310,16
R11	04742371000108	04742371000108	04742371000108	2022	05	0	2101	2126799,14	82587,7	0	0
R11	04742371000108	04742371000108	04742371000108	2022	05	0	2201	3347,34	125,52	0	2848,58
R11	04742371000108	04742371000108	04742371000108	2022	05	0	2551	11736,53	381,44	0	0
R11	04742371000108	04742371000108	04742371000108	2022	05	0	2556	31018,62	1215,68	0	0
R11	04742371000108	04742371000108	04742371000108	2022	06	0	1101	84244,05	8213,8	0	0
R11	04742371000108	04742371000108	04742371000108	2022	06	0	1201	20004,06	750,21	0	12523,3
R11	04742371000108	04742371000108	04742371000108	2022	06	0	2101	1352604,25	69232,3	0	0
R11	04742371000108	04742371000108	04742371000108	2022	06	0	2201	361,46	13,57	0	3617,08
R11	04742371000108	04742371000108	04742371000108	2022	06	0	2556	21770,67	720,83	0	2650,77
R11	04742371000108	04742371000108	04742371000108	2022	06	0	2910	1650	160,88	0	0
R11	04742371000108	04742371000108	04742371000108	2022	07	0	1101	23253,36	2267,23	910	175450,64
R11	04742371000108	04742371000108	04742371000108	2022	07	0	1201	4731,27	177,47	0	15796,15
R11	04742371000108	04742371000108	04742371000108	2022	07	0	2101	1712126,67	71310,74	584818	1600709,1
R11	04742371000108	04742371000108	04742371000108	2022	07	0	2201	1318,84	49,46	0	1710,08
R11	04742371000108	04742371000108	04742371000108	2022	07	0	2910	300	9,75	0	0
R11	04742371000108	04742371000108	04742371000108	2022	07	0	3101	145762,47	4737,28	0	0
R11	04742371000108	04742371000108	04742371000108	2022	08	0	2101	1605213,56	117392,95	449969	1035060,73
